Name,Average User Rating,User Rating Count,Price,In-app Purchases,Age Rating,Languages,Size,Genres,Original Release Date,Current Version Release Date
Juggernaut Wars: RPG Roguelike,4.5,2842,0,Yes,9+,ZH. EN. FR. DE. IT. KO. PL. PT. RU. ES. TR,271549440, Role Playing. Strategy,3/02/2016,8/07/2019
Othello - Mini,4,3306,0,Yes,4+,EN,35684352, Entertainment. Strategy. Board,8/11/2015,31/05/2018
Sultan Of Tower Defense,4,3306,0,No,9+,EN,165615616, Strategy. Action,18/11/2015,6/11/2017
PETAPETA WARS -Lord of 200m-,4,3306,0,No,9+,EN,7514112, Strategy. Entertainment. Role Playing,16/10/2015,2/11/2017
GeoPets,3.5,163,0,No,9+,EN,250297344, Strategy. Entertainment. Adventure,13/01/2016,29/08/2016
Slugterra: Guardian Force,4,48,0,Yes,9+,EN,267362304, Adventure. Strategy,24/03/2016,15/10/2016
Tac-tics,4,3306,0.99,No,4+,EN,6202368, Puzzle. Strategy,29/10/2015,29/10/2015
Invasion - 8bit 3D Arcade Shooter,4,3306,0,No,4+,EN,62804992, Entertainment. Strategy. Casual,11/10/2015,11/10/2015
Chess TV!,4,3306,0.99,No,4+,EN. ES,4674560, Education. Board. Strategy,29/10/2015,27/01/2016
Hidden Objects Ghostly Halloween Haunted Mystery,4.5,58,0,Yes,4+,EN,69389312, Puzzle. Entertainment. Strategy,13/10/2015,17/07/2017
Simply Knights,4.5,179,0,Yes,9+,EN,290428928, Entertainment. Role Playing. Strategy,27/01/2016,2/08/2018
Burger Challenge,4,3306,0,No,4+,EN,62753792, Puzzle. Entertainment. Strategy,16/10/2015,16/10/2015
Chi\u1ebfn Binh V\u0169 Tr\u1ee5,4,3306,0,No,4+,EN,55259136, Casual. Strategy. Entertainment,12/10/2015,12/10/2015
Four Chess Go Go Go,4,3306,0,No,4+,EN,7028736, Puzzle. Strategy,11/10/2015,26/10/2015
Clash of Tank Ace - Tank Games,3.5,9,0,Yes,4+,EN. ZH,116864000, Simulation. Strategy. Social Networking,14/02/2017,11/11/2018
Simon Five,4,3306,0,Yes,4+,CS. DA. NL. EN. FI. FR. DE. EL. HE. ID. IT. JA. KO. MS. NB. PL. PT. RU. ZH. ES. SV. TH. ZH. TR. VI,33762304, Strategy. Music. Family,11/10/2015,5/01/2018
Ancient Egypt Solitaire,4,3306,0,Yes,12+,EN,78946304, Entertainment. Strategy. Card,12/10/2015,12/10/2015
Red Ball Impossible,4,3306,0,No,4+,EN,19533824, Strategy. Casual. Entertainment,31/10/2015,31/10/2015
Amazing Bug Slicer Ninja: Bonsai War Heroes,4,3306,0,Yes,4+,EN,40804352, Family. Strategy,2/11/2015,2/11/2015
"""Where's my Banana - Hungry Baby Monkeys""",4,3306,0,Yes,4+,EN,65942528, Strategy. Entertainment,15/01/2016,15/01/2016
Ring Pong!,5,5,0,No,4+,EN,57573376, Sports. Strategy. Puzzle,20/11/2015,20/11/2015
Stick Man of Ninja Hero,4,3306,2.99,No,4+,EN,14897152, Strategy. Adventure,16/10/2015,16/10/2015
Solitaire Detectives - Crime Inspection Card Game,4.5,29,0,Yes,4+,EN,69885952, Strategy. Card. Entertainment,26/10/2015,20/12/2016
Orbly,4,3306,0,No,4+,EN,70324224, Casual. Strategy. Entertainment,2/08/2018,2/08/2018
4x5x6x7x2048 TV,4,3306,0.99,No,4+,EN,30538752, Strategy. Education. Trivia,27/10/2015,27/10/2015
Gumballs & Dungeons(G&D),5,3411,0,Yes,12+,EN. FR. DE. JA. KO. PT. RU. ZH. ES. TH. ZH,327197696, Adventure. Entertainment. Strategy,21/11/2016,22/05/2019
"""Jewel's Juice Match-3 - diamond game and kids digger's mania""",4,3306,0,No,4+,EN,54996992, Strategy. Entertainment,20/10/2015,20/10/2015
"""Jewel's Pop Match-3""",4,3306,0,No,4+,EN,56291328, Strategy. Entertainment,3/11/2015,3/11/2015
Sticky Walk TV,4,3306,0,No,4+,EN,157760512, Strategy. Entertainment. Adventure,30/10/2015,30/10/2015
Super Football Kicks 3D,4,3306,0,No,4+,EN,122684416, Sports. Sports. Strategy,29/04/2016,29/04/2016
Turing\u2019s Machine,4,3306,4.99,No,4+,EN,198819840, Strategy. Entertainment. Board,10/12/2015,21/11/2017
Three Jumps TV,4,3306,0,No,4+,EN,157735936, Action. Entertainment. Strategy,29/10/2015,29/10/2015
Fleye TV,4,3306,0.99,No,4+,EN,46601216, Entertainment. Strategy. Action,29/10/2015,29/10/2015
Five Card Quest - Tactical RPG Battles,4,137,2.99,No,9+,EN,197125120, Role Playing. Entertainment. Strategy,29/10/2015,14/01/2016
Vlogger Go Viral - Tube Star,5,80407,0,Yes,4+,EN. FR. DE. PT. RU. ES. TR,138714112, Entertainment. Strategy. Simulation,26/11/2015,24/07/2019
Burger Dash Pizza Fast Food Cooking - Restaurant Simulation Game,4,3306,0,Yes,4+,EN,33849344, Role Playing. Strategy,29/10/2015,29/10/2015
Code Cat,4,3306,0,No,4+,ZH. CS. DA. NL. EN. FI. FR. DE. EL. HU. ID. IT. JA. KO. NO. NB. PL. PT. RO. RU. ZH. SK. ES. SV. TH. TR. VI,126879744, Entertainment. Puzzle. Strategy,1/06/2016,1/06/2016
Micro Golf Masters,4.5,4284,0,Yes,4+,AR. EN. FR. DE. IT. PT. RU. ES. TR,296724480, Strategy. Sports. Sports,5/05/2016,15/07/2019
Cyborg Zombie Defence,5,32,0,Yes,9+,EN,61274112, Action. Strategy,15/10/2015,15/10/2015
Magic Little Unicorn Legend: Pretty Pony Game for Girls,4,3306,0,Yes,4+,EN,14798848, Strategy. Family,7/11/2015,7/11/2015
Color Quest Mania Free - Match Pins & Circle Colors,4,3306,0,Yes,4+,EN,70036480, Strategy. Casual. Entertainment,9/09/2016,9/09/2016
Inflate Balloon,4,3306,0,No,4+,EN,75549696,Entertainment. Strategy.  Trivia,20/04/2016,2/05/2019
kraken chess,4,3306,0,No,9+,EN. PT,59958272, Entertainment. Board. Strategy,1/11/2015,1/11/2015
Axis & Allies War Chest 1914,4,3306,0,No,4+,EN,32621568,Entertainment.  Board. Strategy,3/11/2015,19/11/2015
3D.City - Build Your Dream City !,4,3306,1.99,No,4+,EN,28614656, Strategy. Simulation,13/10/2015,13/11/2015
EyeSight Challenge,4,3306,0,No,4+,EN,10054656, Puzzle. Strategy,17/10/2015,27/09/2017
Galaxy Heroes: strategies,4.5,56,0,Yes,9+,EN. RU,124385280, Entertainment. Strategy. Role Playing,5/04/2019,22/07/2019
Monkey Bridge,4,3306,0,No,4+,EN,30299136, Strategy. Casual,15/10/2015,29/06/2016
"""Jewel's Drop Match-3 - diamond game and kids digger's mania hd free""",4,15,0,No,4+,EN,55066624, Strategy. Entertainment,16/10/2015,16/10/2015
Pony Puzzles Slide,4,3306,0,No,4+,EN,13750272, Strategy. Puzzle. Entertainment,2/12/2015,2/12/2015
Crazy Eights Mobile,4,3306,0,Yes,4+,EN. FR. DE. IT. PT. RO. RU. ES,68733952, Card. Strategy,13/10/2015,11/07/2018
Euchre Mobile,4,13,0,Yes,4+,EN. FR. DE. IT. PT. RO. RU. ES,69950464, Card. Strategy,13/10/2015,12/07/2018
"""Jewel's Splash 2 Match-3""",4,3306,0,No,4+,EN,59277312, Strategy. Entertainment,9/11/2015,9/11/2015
D-vide,4,3306,0,Yes,4+,AR. HY. CA. CS. DA. NL. EN. FI. FR. DE. EL. HE. HU. ID. IT. JA. KO. MS. NB. PL. PT. RO. RU. ZH. SK. ES. SV. TH. ZH. TR. VI,19295232, Puzzle. Entertainment. Strategy,15/10/2015,15/10/2015
Oblique!,4,3306,0,No,4+,EN,17748992, Entertainment. Strategy. Casual,24/10/2015,24/10/2015
Castles - Jigsaw and Sliding Puzzles,4,3306,0.99,No,4+,NL. EN. FR. DE. IT. JA. KO. PL. PT. RU. ZH. ES. SV. ZH. TR,66977792, Puzzle. Entertainment. Strategy,17/10/2015,23/11/2016
Tiles of Terror,4,3306,0,No,12+,EN,289228800, Strategy. Puzzle. Entertainment,17/10/2015,19/11/2018
Chicken life,4,3306,0,Yes,4+,EN. HU,110061568,Entertainment.  Strategy. Adventure,10/12/2015,14/12/2015
Fewer - Math Game,4,3306,0,Yes,4+,EN,14578688, Strategy. Puzzle. Education,4/05/2016,24/09/2018
Platform Defense,4.5,27,0,Yes,9+,EN,45874176, Simulation. Entertainment. Strategy,31/10/2015,11/05/2017
Cake House : a sweet journey,4,17,0,Yes,4+,EN. JA. KO,61741056, Strategy. Simulation,22/09/2016,4/11/2016
QuizApp,4,3306,0,No,4+,EN,646144, Strategy,29/10/2015,29/10/2015
3 Shades,4,3306,0,No,4+,EN,20113408, Strategy. Puzzle,8/05/2017,8/05/2017
Galaxy Wars Multiplayer,3,93,0,No,4+,AR. CA. CS. DA. NL. EN. FI. FR. DE. EL. HE. HU. ID. IT. JA. KO. MS. NB. PL. PT. RO. RU. ZH. SK. ES. SV. TH. ZH. TR. UK. VI,21291008, Casual. Entertainment. Strategy,24/11/2015,24/11/2015
"Bloody Roads, California",4.5,1733,0,Yes,17+,NL. EN. FR. DE. IT. PL. PT. RU. ES. TR,216279040, Action. Strategy,10/11/2015,2/05/2019
"""BF's Draughts (Checkers)""",4.5,137,0,Yes,4+,EN. FR. IT. PL. RU. ES,97116160, Entertainment. Board. Strategy,19/10/2015,28/03/2019
Alphabet ABC Puzzles Slide,4,3306,0,No,4+,EN,12599296, Puzzle. Strategy. Entertainment,26/10/2015,26/10/2015
Spot & Spy Objects Fall Harvest & Autumn Secrets,4.5,63,0,Yes,4+,EN,74301440, Puzzle. Strategy. Lifestyle,17/10/2015,9/09/2017
"""Don't Catch The Mask""",4,3306,0,Yes,4+,EN,21139456, Casual. Strategy,15/11/2015,15/11/2015
Ninja Alliance: Guard of the Kingdom,4,3306,0,Yes,9+,EN,165796864, Action. Entertainment. Strategy,16/10/2015,16/10/2015
Brainy Skills World Capitals,4,3306,1.99,No,4+,EN,19208192,Education. Strategy.  Trivia,15/10/2015,24/07/2019
Jelly Juice - 3 match puzzle blast mania game,4,3306,0,Yes,4+,EN,23310336, Strategy. Trivia,15/10/2015,15/10/2015
Turtle Ninja: Zombie Attack,4,3306,0,No,9+,EN,11348992, Adventure. Strategy,7/11/2015,12/12/2015
Zombie Wars: Invasion,4.5,9,0,Yes,12+,EN,62283776, Strategy,10/11/2015,22/08/2016
Spinning Shots,4,3306,0,No,4+,EN,16337920, Casual. Strategy. Entertainment,19/11/2015,21/01/2019
Christmas Night Shift - Five Nights Survival FREE,4,67,0,Yes,12+,EN,88712192, Strategy. Action,1/12/2015,1/11/2016
Online Street Football,4,3306,0,No,4+,EN,103750656, Strategy. Sports,16/10/2015,16/10/2015
Centauri Saga,4,3306,0,No,9+,EN,211424256, Strategy. Simulation,9/01/2017,9/05/2018
Picker for Dota 2,4,66,0,Yes,4+,EN,54767616,Entertainment.  Strategy,16/12/2015,28/12/2017
Love Puzzles Slides,4,3306,0,No,4+,EN,10125312, Entertainment. Puzzle. Strategy,25/10/2015,25/10/2015
Goodbye Galaxy,4,3306,0,No,4+,EN,18271232, Entertainment. Action. Strategy,24/11/2015,7/08/2017
3D Crazy Tank,4,3306,0,Yes,4+,EN,19777536, Role Playing. Strategy,17/11/2015,17/11/2015
Jelly Bomb - Free Match 3,4,3306,0,No,4+,EN,17505280, Puzzle. Strategy,30/10/2015,23/08/2016
Whack the Magic Bunnies,4,3306,0,Yes,4+,EN,45535232, Casual. Strategy. Entertainment,8/12/2015,23/08/2016
"""Crazy Jewel's Match-3 - diamond game and kids digger's mania hd free""",4,3306,0,No,4+,EN,59219968, Strategy. Entertainment,3/11/2015,3/11/2015
War Conflict,4.5,80,0,Yes,12+,EN. FR. DE. JA. RU. ES,446679040, Action. Entertainment. Strategy,3/11/2016,29/08/2018
"""Manic Jewel's Match-3 - diamond game and kids digger's mania hd free""",4,3306,0,No,4+,EN,58142720, Strategy. Entertainment,3/11/2015,3/11/2015
"""Papa's Cupcakeria HD""",4.5,516,2.99,No,4+,EN,58287104, Strategy. Simulation,19/11/2015,29/01/2019
Jewels - Legend of Points,4,3306,0,No,4+,EN,87589888, Strategy. Puzzle. Entertainment,7/12/2015,3/01/2016
Jewels - Chroma Legend,4,3306,0,No,4+,EN,75088896, Strategy. Entertainment. Puzzle,9/12/2015,7/01/2016
