Name,Average User Rating,User Rating Count,Price,In-app Purchases,Age Rating,Languages,Size,Genres,Original Release Date,Current Version Release Date
Sudoku,4,3553,2.99,No,4+,DA. NL. EN. FI. FR. DE. IT. JA. KO. NB. PL. PT. RU. ZH. ES. SV. ZH,15853568, Strategy. Puzzle,11/07/2008,30/05/2017
Reversi,3.5,284,1.99,No,4+,EN,12328960, Strategy. Board,11/07/2008,17/05/2018
Morocco,3,8376,0,No,4+,EN,674816, Board. Strategy,11/07/2008,5/09/2017
Sudoku (Free),3.5,190394,0,No,4+,DA. NL. EN. FI. FR. DE. IT. JA. KO. NB. PL. PT. RU. ZH. ES. SV. ZH,21552128, Strategy. Puzzle,23/07/2008,30/05/2017
Senet Deluxe,3.5,28,2.99,No,4+,DA. NL. EN. FR. DE. EL. IT. JA. KO. NO. PT. RU. ZH. ES. SV,34689024, Strategy. Board. Education,18/07/2008,22/07/2018
Sudoku - Classic number puzzle,3,47,0,Yes,4+,EN,48672768, Entertainment. Strategy. Puzzle,30/07/2008,29/04/2019
Gravitation,2.5,35,0,No,4+,EN,6328320, Entertainment. Puzzle. Strategy,30/07/2008,14/11/2013
Colony,2.5,125,0.99,No,4+,EN,64333824, Strategy. Board,3/08/2008,3/10/2018
Carte,2.5,44,0,No,4+,FR,2657280, Strategy. Board. Entertainment,3/08/2008,23/11/2017
"""Barrels O' Fun""",2.5,184,0,No,4+,EN,1466515, Casual. Strategy,1/08/2008,1/08/2008
Quaddraxx,4,3306,0,No,4+,EN,3089867, Entertainment. Strategy. Puzzle,11/08/2008,30/09/2008
Lumen Lite,3.5,5072,0,No,4+,EN,7086403, Puzzle. Strategy,18/08/2008,22/11/2008
BubblePop,3,526,0,No,4+,EN,845008, Strategy. Entertainment,22/08/2008,25/07/2009
Marple,3.5,989,0.99,No,4+,EN,3643392, Puzzle. Strategy,28/08/2008,5/05/2019
Tetravex Lite,2.5,2358,0,No,4+,EN,731525, Puzzle. Strategy. Entertainment,27/08/2008,21/10/2008
Awele/Oware - Mancala HD,3,112,0,Yes,4+,EN. FR. DE. IT. ES,122826752, Strategy. Board,31/08/2008,6/04/2015
Chess Game,3,504,0,No,4+,EN,444163, Board. Strategy,2/09/2008,7/10/2009
Catcha Mouse,3.5,95971,0,Yes,4+,EN,26820692, Puzzle. Strategy,19/02/2009,26/04/2013
"Cool Sudoku, Jigsaw, Killer",3.5,357,0,Yes,4+,EN,52236288, Strategy. Puzzle. Entertainment,24/09/2008,26/04/2019
Mind the Corners,3,7,0.99,No,4+,EN,1530880, Strategy. Entertainment. Board,19/09/2008,26/10/2016
All You Can Eat,2,30,0.99,No,9+,EN,4341760,Entertainment.  Casual. Strategy,24/09/2008,16/03/2019
Ane Rouge,4,3306,0,No,4+,EN. FR,1190912, Puzzle. Education. Strategy,27/09/2008,8/03/2017
Neiscat,4,3306,0.99,No,4+,EN. FR,8806400, Board. Entertainment. Strategy,29/09/2008,23/12/2018
Boomshine,4,637,0.99,No,4+,EN,22873088, Puzzle. Entertainment. Strategy,7/10/2008,20/05/2017
Gaia Lite,3.5,1563,0,No,4+,EN,6550985, Strategy. Puzzle,2/10/2008,2/10/2008
Fieldrunners,4,41869,2.99,Yes,9+,EN,75041792, Entertainment. Action. Strategy,5/10/2008,11/04/2018
Lux Touch 3 - World Domination,3.5,72428,0,No,9+,EN,55071744, Entertainment. Strategy. Board,7/10/2008,23/01/2019
"""Don't Square""",2.5,190,0.99,No,4+,EN. FR. DE. EL. PT. RU. ZH. ES,4357120, Board. Entertainment. Strategy,12/10/2008,22/05/2019
Smart Rummy,2.5,69,2.99,No,4+,EN,44329984, Strategy. Card. Entertainment,4/11/2008,5/12/2016
Expert Sudoku,4,523,2.99,No,4+,DA. NL. EN. FI. FR. DE. IT. JA. KO. NB. PL. PT. RU. ZH. ES. SV. ZH,9543680, Strategy. Entertainment. Puzzle,21/10/2008,30/05/2017
Edgewise,3.5,23,0,Yes,4+,EN,1298432, Card. Strategy,25/10/2008,26/06/2015
Chess Genius,4,156,0,No,4+,EN. FR. DE. IT. ES,1751040, Strategy. Board. Entertainment,8/11/2008,5/08/2016
Chess - tChess Pro,4,3062,0,No,4+,EN. FR. DE. JA. KO. ZH,7517184, Board. Entertainment. Strategy,5/11/2008,7/04/2019
Toobz,3.5,2425,0.99,No,4+,EN,9641984, Strategy. Puzzle,5/11/2008,13/09/2014
Color Sudoku,3.5,518,2.99,No,4+,DA. NL. EN. FI. FR. DE. IT. JA. KO. NB. PL. PT. RU. ZH. ES. SV. ZH,15837184, Puzzle. Entertainment. Strategy,14/11/2008,30/05/2017
Chess - tChess Lite,3.5,5488,0.99,No,4+,EN. FR. DE. JA. KO. ZH,5874688, Strategy. Entertainment. Board,15/11/2008,7/04/2019
Checkers Online Lite,2.5,3521,0,No,4+,EN,9402423, Strategy. Board,29/11/2008,29/11/2008
TapDefense,3.5,273687,0,Yes,9+,EN,7774384, Strategy. Entertainment. Simulation,24/11/2008,5/12/2012
Chinese Chess (Xiangqi),3,67,0.99,No,4+,EN,12423168, Strategy. Board,24/11/2008,30/12/2014
Warfare Incorporated,3.5,5931,0,No,9+,EN,7705600, Strategy. Entertainment. Action,4/12/2008,20/06/2019
Strategery,4,2798,1.99,No,4+,EN,15547392, Board. Strategy. Entertainment,9/12/2008,17/06/2017
5x5 Shogi (MiniShogi) K55,4,16,2.99,No,4+,EN. JA,3940352, Board. Strategy,11/12/2008,25/09/2015
Deep Green Chess,4,483,0,No,4+,EN,99019776, Board. Strategy,9/12/2008,28/01/2016
Jewel Lines,3,75,2.99,No,4+,EN,5731328, Entertainment. Puzzle. Strategy,13/12/2008,29/08/2017
Lux DLX 3 - Map Conquest Game,4,5629,4.99,No,9+,DA. NL. EN. FR. DE. IT. NO. NB. PT. ES. SV,93993984, Strategy. Board. Entertainment,19/12/2008,26/03/2019
ChartFight SP,3,2482,0.99,No,4+,NL. EN,14894080, Strategy. Board,17/12/2008,16/10/2017
Robo Logic,3.5,77,0.99,No,4+,EN. FR. DE. JA,5044648, Puzzle. Education. Strategy,15/12/2008,11/09/2009
RoboLogic Lite,3,1461,0,No,4+,EN. DE,2584622, Strategy. Puzzle,3/01/2009,28/08/2009
Kakinoki Shogi (Japanese Chess),4,75,4.99,No,4+,EN. JA,18432000, Strategy. Board,19/01/2009,24/09/2015
Kings Corners Free,2.5,1741,0,No,4+,EN,2323719, Entertainment. Card. Strategy,22/01/2009,22/08/2011
Flip Ninja,2.5,6,0,No,4+,EN,1112393, Strategy. Puzzle,16/01/2009,16/01/2009
Gun Runner Wars,3,740,0.99,No,9+,EN,15541248, Finance. Strategy. Simulation,4/02/2009,9/07/2016
Word Zapper,3,89,0.99,No,4+,EN,16785408, Strategy. Word. Entertainment,22/01/2009,7/10/2018
Antivirus,3,187,0,Yes,9+,EN,25563136, Entertainment. Simulation. Strategy,3/02/2009,9/07/2015
Arcs,4,413,2.99,No,4+,EN,5106688, Puzzle. Entertainment. Strategy,21/01/2009,10/05/2018
Shogi Kifu,4,3306,3.99,No,4+,EN. JA,29797376, Strategy. Board,14/07/2011,13/10/2018
Strategery Lite,3.5,9121,0,No,4+,EN,5421981, Entertainment. Board. Strategy,5/02/2009,30/06/2010
Wedding Dash Deluxe,4.5,17056,0.99,Yes,4+,EN,55803904, Strategy. Action. Entertainment,28/01/2009,2/07/2014
Agency Wars Lite,2.5,17045,0,No,4+,EN,7543757, Entertainment. Strategy. Role Playing,14/03/2009,6/05/2009
Touch Physics Lite,3.5,42210,0,No,4+,EN,16556848, Puzzle. Strategy. Entertainment,1/02/2009,12/01/2011
FIREWALL: Defender FREE,2.5,1156,0,No,4+,EN,6122222, Strategy. Entertainment. Puzzle,28/01/2009,28/01/2009
PocketSports Football Lite,2.5,20234,0,No,12+,EN,4528173, Sports. Entertainment. Strategy,12/02/2009,19/02/2009
BallSnare,3.5,7,0.99,No,4+,EN,3824640, Entertainment. Casual. Strategy,6/02/2009,9/09/2016
Wordology,3.5,125,2.99,No,4+,EN,98282496, Entertainment. Word. Strategy,28/02/2009,7/12/2017
Omar Sharif Bridge,2.5,359,0,No,4+,EN,33982464, Card. Entertainment. Strategy,17/02/2009,11/12/2018
PahJong Hurricane,3,6,0.99,No,4+,EN,3134464, Entertainment. Casual. Strategy,16/02/2009,9/09/2016
Wedding Dash,4,101209,0,Yes,4+,EN,58343424, Strategy. Action. Entertainment,18/02/2009,2/07/2014
PahJong Tsunami,4,3306,0.99,No,4+,EN,2974720, Entertainment. Strategy. Casual,18/02/2009,9/09/2016
Slay,3,4885,3.99,Yes,9+,EN,59016192, Board. Strategy,27/02/2009,30/05/2019
Paintball II,2,84,2.99,No,4+,EN,6466560, Puzzle. Entertainment. Strategy,25/02/2009,10/10/2018
Psarakia (Ice Fishing),3.5,13,2.99,No,4+,EN,4922368, Entertainment. Puzzle. Strategy,25/02/2009,10/10/2018
Shogi Demon,3.5,27,2.99,No,17+,EN. JA,20957184, Strategy. Board,24/02/2009,13/07/2018
Tiki Towers LITE,3.5,29495,0,No,9+,EN. FR. DE. IT. ES,39453539, Entertainment. Strategy. Puzzle,25/02/2009,29/01/2011
Gun Runner +,2.5,5462,0,Yes,9+,EN,14125056, Entertainment. Adventure. Strategy,25/02/2009,28/09/2017
Polycubes,3.5,19,0,No,4+,EN,4472832, Strategy. Entertainment. Puzzle,7/03/2009,2/07/2014
Port Defender\xae - 2D Field Defense,3.5,860,0,Yes,9+,EN,84364288, Strategy. Action. Entertainment,27/03/2009,23/03/2016
"""Sally's Spa""",4.5,35199,2.99,No,4+,EN. FR. DE. IT. ES,500501504, Strategy. Entertainment. Action,8/04/2009,11/09/2017
Port Defender\xae Lite - 2D Field Defense,3,5013,0,No,9+,EN,54787072, Strategy. Action. Entertainment,27/03/2009,23/03/2016
"""Tap 'n' Pop Classic: Balloon Group Remove""",3.5,1119,2.99,No,4+,EN,8881152, Entertainment. Strategy. Puzzle,27/03/2009,16/08/2017
Conquest (+ all maps),3.5,2606,4.99,No,9+,EN,107105280, Board. Strategy,27/03/2009,15/12/2017
Shredder Chess,4.5,863,3.99,No,4+,EN. DE,33033216, Board. Education. Strategy,27/03/2009,16/10/2016
Wordology Lite,3,1926,0,No,4+,EN,108253184, Strategy. Entertainment. Word,27/03/2009,7/12/2017
"Gomoku Free (\u4e94\u5b50\u68cb, \u4e94\u76ee\u4e26\u3079, \uc624\ubaa9)",2.5,1848,0,No,4+,ZH. EN,1326164, Strategy. Board,27/03/2009,21/12/2010
"""Tap 'n' Pop Classic (Lite): Balloon Group Remove""",3,24821,0,No,4+,EN,14717952, Entertainment. Puzzle. Strategy,28/03/2009,17/08/2017
Tournament Reversi Free,3.5,2503,0,No,4+,EN,2582857, Board. Strategy. Entertainment,27/03/2009,18/07/2010
Bloons,4,16693,0.99,No,4+,EN,5500291, Strategy. Puzzle,14/04/2009,7/02/2012
Chess \u2219,3.5,191081,0,No,4+,EN,65303552, Strategy. Entertainment. Board,18/04/2009,27/06/2018
Chess Premium,4,2767,1.99,No,4+,EN,30746624, Entertainment. Board. Strategy,23/04/2009,28/09/2017
UniWar: Multiplayer Strategy,3.5,14073,0,Yes,9+,AR. ZH. CS. EN. FR. DE. IT. JA. PL. PT. RU. ES. TR,115074048, Entertainment. Strategy. Role Playing,14/04/2009,24/07/2019
Pocket Tanks Deluxe,4.5,5543,4.99,Yes,9+,EN,39997440, Family. Strategy. Entertainment,15/04/2009,31/08/2016
Castle Smasher,3,12659,0.99,No,4+,EN,10308608, Strategy. Action,14/04/2009,5/07/2017
Pocket Tanks,4,90386,0,Yes,9+,EN,43073536, Strategy. Family. Entertainment,15/04/2009,31/08/2016
Inverti,3,40,0,No,4+,EN,2004992, Board. Strategy,21/04/2009,5/10/2017
Crystal Mine,2,353,0,No,4+,EN,2818386, Casual. Strategy,3/05/2009,3/05/2009
Nerve,2.5,47,0,No,4+,EN,6994639, Strategy,28/04/2009,3/07/2009
Pebbles,3,866,0,No,4+,EN. DE,10136576, Strategy. Board. Entertainment,28/04/2009,20/01/2016
AirTycoon - Airline Management,3.5,3416,0,No,4+,EN,8646161, Strategy. Role Playing. Entertainment,29/04/2009,13/11/2012
Jungle Crash Land,3.5,67670,0.99,No,4+,EN,7703552, Strategy. Action,1/05/2009,21/06/2017
PortOfCallL,2.5,634,0,Yes,4+,DA. NL. EN. FI. FR. DE. IT. NO. PT. ES. SV,3396500, Strategy. Simulation,1/05/2009,7/05/2011
"""Swap 'n Drop""",3,282,2.99,No,4+,EN,4225024, Puzzle. Strategy,3/05/2009,17/11/2017
Boxed In,3.5,93235,0.99,Yes,4+,EN,259371008, Strategy. Entertainment. Puzzle,6/05/2009,4/12/2017
SmartGo Player,4,569,2.99,No,4+,EN. FR. DE. JA. KO. RU. ZH. ES. ZH,23805952, Entertainment. Board. Strategy,6/05/2009,4/05/2018
Big 2 Classic,3.5,127,2.99,No,4+,EN. ZH. ZH,3684352, Strategy. Card. Entertainment,7/05/2009,14/10/2017
"""Sally's Spa Lite""",4,193923,0,No,4+,EN. FR. DE. IT. ES,233482240, Action. Entertainment. Strategy,28/05/2009,11/09/2017
TowerMadness,4,42389,2.99,Yes,9+,EN. DE,56048640, Strategy. Puzzle,24/05/2009,5/03/2018
Chinese Chess Master,3.5,207,3.99,No,4+,EN,23740416, Entertainment. Strategy. Board,23/05/2009,19/10/2015
Block Off,3,16554,0,Yes,4+,EN,6338617, Puzzle. Strategy. Entertainment,25/05/2009,19/03/2012
UAV Fighter Free,3,6906,0,No,12+,EN,12120793, Strategy. Simulation. Entertainment,5/06/2009,2/08/2012
WORP - Next Gen Solitaire Puzzle,3,9,1.99,No,4+,EN. DE,20501504, Board. Entertainment. Strategy,7/06/2009,24/10/2016
Bubble Buster,3.5,2110,0,Yes,4+,EN,76698624, Board. Strategy. Entertainment,11/07/2009,13/07/2016
Age of Conquest: Europe,3.5,267,3.99,No,12+,EN,39074816,Entertainment.  Board. Strategy,16/06/2009,12/10/2018
Backgammon!,2,704,0,No,4+,EN,413902, Entertainment. Strategy. Board,11/06/2009,11/06/2009
Crush the Castle,3.5,23854,0.99,No,12+,EN,44707840, Adventure. Strategy,18/09/2009,31/07/2017
PopGroup,3,847,0.99,No,4+,EN,995328, Board. Strategy. Entertainment,18/06/2009,3/07/2017
PopGroup Lite,3,233,0,No,4+,EN,761856, Entertainment. Board. Strategy,16/09/2009,3/07/2017
TapSquares,3,5,0.99,No,4+,EN,2137088, Strategy. Entertainment. Puzzle,10/06/2009,7/03/2019
Chess,4.5,14864,0,Yes,4+,EN,47129600, Strategy. Board. Entertainment,13/06/2009,21/06/2019
TOTL,2.5,43,0,No,4+,EN,41591808, Entertainment. Strategy. Puzzle,14/06/2009,21/06/2018
Tic-Tac-Toe Arena,1.5,8,1.99,No,4+,EN,82583552, Entertainment. Strategy. Board,24/06/2009,13/09/2016
4_IN_1_ROW_Lite,2.5,3593,0,No,4+,EN. JA. ZH,7750656, Board. Strategy. Entertainment,28/06/2009,3/02/2018
Tournament Checkers Free,3,344,0,No,4+,EN,4578541, Entertainment. Strategy. Board,2/07/2009,2/07/2009
Checkers,4.5,36581,0,No,4+,EN,69393408, Entertainment. Board. Strategy,4/07/2009,14/06/2019
Pipe Mania,3,302,0,No,4+,EN,85569536, Strategy. Puzzle,8/07/2009,9/04/2014
WORMS,4,5778,1.99,Yes,12+,EN,253834240, Action. Entertainment. Strategy,12/07/2009,9/12/2016
Pixel Starships\u2122,4.5,27739,0,Yes,9+,AR. CS. NL. EN. FR. DE. ID. IT. JA. KO. PL. PT. RU. ZH. ES. SV. TH. ZH. TR. VI,104436736, Entertainment. Strategy. Role Playing,6/01/2016,22/07/2019
PUSHY,4,163,1.99,Yes,4+,EN. FR. DE,83070976, Puzzle. Strategy. Education,11/07/2009,8/04/2019
Traffic Rush,3.5,212763,0.99,No,9+,EN,9466880, Strategy. Action,12/07/2009,8/11/2018
Traffic Control!,3,24,0,No,4+,EN,4474837, Entertainment. Puzzle. Strategy,19/07/2009,21/08/2009
Sudoku Infinite,3.5,166,0,No,4+,EN. FR. JA. ES,10318615, Strategy. Education. Casual,8/08/2009,17/11/2011
Cartoon Wars,3.5,35905,0.99,Yes,12+,EN,13216994, Role Playing. Strategy,25/07/2009,15/10/2012
Hexxagon,2.5,268,0.99,No,4+,EN,5334016, Strategy. Board. Entertainment,23/07/2009,17/04/2017
Big Deuce - Big 2 Classic,3,942,0,Yes,4+,EN. ZH. ZH,18093056, Strategy. Card. Entertainment,24/07/2009,11/01/2018
Archmage Defense Lite,3.5,3135,0,No,9+,EN,9205022, Strategy. Action. Entertainment,30/07/2009,26/07/2010
Orbital,4,1435,2.99,No,4+,EN. FR. DE. IT. ES,22335488, Puzzle. Strategy. Entertainment,13/08/2009,29/05/2015
Tic Tac Toe: World Challenge,3,680,0,No,4+,EN. IT. ES,4481024, Entertainment. Board. Strategy,6/08/2009,13/05/2014
Stock Wars - Virtual Investing,3.5,3015,0,Yes,4+,EN,10139648,Finance. Simulation.  Strategy,29/10/2009,28/11/2017
Sudoku Deluxe\xae,4.5,688,0,Yes,4+,EN,70557696, Travel. Strategy. Word,23/09/2009,16/08/2017
Block Drop\xae,4,113,0.99,No,4+,EN,48675840, Strategy. Entertainment. Puzzle,6/08/2009,8/05/2017
All American Girls Concentration Memory Game,2,291,0.99,No,17+,EN,9900032, Entertainment. Strategy. Board,18/09/2009,26/07/2016
Phoenix Emperor 50 Marks,4.5,62,0,Yes,12+,EN,22518784, Adventure. Strategy,21/08/2009,10/10/2015
Cleopatra\xae,3.5,1054,0,No,12+,EN,5085584, Strategy. Entertainment. Casino,4/08/2009,15/12/2009
Bored,3.5,9,0,Yes,4+,EN,16440320, Puzzle. Strategy. Entertainment,4/08/2009,9/01/2016
Orient Express: The Train Simulator,3,657,0,Yes,4+,EN. FR. DE. IT. RU,25035776, Entertainment. Simulation. Strategy,11/08/2009,19/06/2016
Icy Escort,3,47338,0.99,No,4+,EN,9214976, Family. Strategy,11/08/2009,12/07/2017
Alice Greenfingers,3.5,1979,0.99,No,4+,EN,9659320, Strategy. Simulation. Entertainment,22/08/2009,16/10/2010
Space Control,2.5,654,0.99,No,4+,EN,13483008, Entertainment. Strategy. Casual,24/08/2009,21/08/2018
HIARCS Chess,4,213,9.99,No,4+,EN. DE,22864896, Board. Education. Strategy,28/08/2009,28/08/2018
Mobile Aquarium,3,15277,0,Yes,4+,EN,8482816, Simulation. Entertainment. Strategy,9/09/2009,29/03/2015
PUSHY lite,3.5,776,0,No,4+,EN. FR. DE,64505856, Education. Puzzle. Strategy,29/08/2009,4/04/2019
Ancient War,3.5,5378,0,Yes,12+,EN,15120306, Strategy. Entertainment. Action,19/09/2009,9/01/2013
Backgammon NJ,4,2567,4.99,Yes,4+,EN,21422080, Board. Entertainment. Strategy,1/09/2009,16/01/2018
Pebble Command,2.5,29,0,No,4+,EN,35214336, Entertainment. Strategy. Action,1/09/2009,28/02/2017
Yahoo Fantasy Football & more,3.5,199585,0,No,17+,AR. BN. BG. CA. HR. CS. DA. NL. EN. ET. FI. FR. DE. EL. GU. HE. HI. HU. ID. GA. IT. JA. KN. KO. LV. LT. MS. ML. MR. NB. PL. PT. RO. RU. SR. ZH. SK. SL. ES. SV. TA. TE. TH. ZH. TR. UK. UR. VI,145777664,Sports.  Sports. Strategy,8/09/2009,27/07/2019
Chess - Play & Learn,4.5,143719,0,Yes,4+,AF. SQ. AR. HY. AZ. EU. BE. BN. BS. BG. CA. HR. CS. DA. NL. EN. ET. FI. FR. GL. KA. DE. EL. HE. HI. HU. IS. ID. GA. IT. JA. KN. KK. KO. LV. LT. MK. MS. NE. NB. PS. FA. PL. PT. PA. RO. RU. SR. ZH. SI. SK. SL. ES. SW. SV. TG. TA. TE. TH. ZH. TR. TK. UK. UR. UZ. VI,109671424, Strategy. Board. Entertainment,29/10/2009,24/07/2019
DodgeDot,3,4289,0,No,4+,EN,24214528, Entertainment. Strategy. Casual,2/10/2009,4/09/2017
Mummy: Tomb of the Lost Souls FREE,3,178,0,No,4+,EN,11965728, Entertainment. Strategy. Puzzle,18/11/2009,12/07/2011
Cannon Siege,3,694,0,No,12+,EN,7587880, Casual. Strategy. Entertainment,28/09/2009,21/03/2012
Slideswipe,5,6,0.99,No,4+,EN. FR. DE. IT. ES,19798016, Education. Strategy,1/04/2010,4/10/2016
Cows In Space,3,46861,0.99,No,4+,EN,8752128, Strategy. Family,16/09/2009,12/07/2017
Fare City: Taxi Mania,3.5,1639,0.99,No,4+,EN,35438592, Strategy. Family,17/09/2009,11/01/2016
Cartoon Wars Lite,4,148144,0,No,12+,EN,12429966, Adventure. Strategy,18/09/2009,9/07/2011
Bloons TD,4,7950,2.99,No,4+,EN,8432232, Strategy. Casual,3/10/2009,29/11/2012
IpickMega,4,3306,0.99,No,4+,EN,1612800,Entertainment. Casino.  Strategy,23/09/2009,16/02/2017
Igowin Tutor,3.5,517,0,No,4+,EN,22585344, Strategy. Board,23/09/2009,22/03/2014
MILLIONAIRE TYCOON\u2122,3.5,4049,0.99,Yes,4+,ZH. EN. FR. IT. JA. KO. PT. RU,49016832, Board. Business. Strategy,28/09/2009,17/11/2015
Tic Tac Toe 3-in-a-row,3,345,0,Yes,4+,EN,5614592, Board. Strategy. Entertainment,1/10/2009,18/04/2018
Chain Rxn Free,3.5,7499,0,No,4+,EN,1978912, Strategy,10/11/2009,27/08/2010
Trump It,1.5,18,0,No,4+,EN,75976704,Entertainment. Card.  Strategy,19/11/2009,28/11/2018
Titanic Rescue,3,38008,0.99,No,4+,EN,7494656, Family. Strategy,7/10/2009,19/07/2017
Ninja TD Lite,3.5,3650,0,No,4+,EN,16141677, Strategy. Action,9/10/2009,17/03/2010
Naval Fight,2.5,1604,0,No,4+,EN,7075285, Board. Strategy. Entertainment,14/10/2009,18/12/2010
MILLIONAIRE TYCOON\u2122 : Free Realestate Trading Strategy Board Game,3,17680,0,No,4+,ZH. EN. FR. IT. JA. KO. PT. RU,52412416, Entertainment. Strategy. Board,24/11/2009,8/07/2016
Chicken Chess,3.5,7,0,No,4+,EN,9431040, Strategy. Board. Entertainment,30/10/2009,5/11/2018
Earth Alliance: Earth Defense,4,3306,0,Yes,9+,EN,67878912, Entertainment. Strategy. Simulation,31/10/2009,21/08/2017
Gypsy Cards,3,166,0,No,9+,EN,16702740, Entertainment. Card. Strategy,15/10/2009,18/08/2010
Missile Pod Launcher,2,868,0,No,12+,EN,15370240,Entertainment.  Strategy. Casual,22/10/2009,16/04/2016
Stone Wars,3.5,10785,0,Yes,12+,EN. FR. DE. JA. ES,52757132, Action. Entertainment. Strategy,10/12/2009,2/11/2012
Catan Classic,4,17440,4.99,Yes,4+,NL. EN. FR. DE. PT. ES,888494080, Board. Strategy. Entertainment,25/10/2009,11/01/2019
Solve Sudoku FREE,2.5,234,0,No,4+,EN,1098368, Puzzle. Strategy,5/11/2009,4/12/2009
TowerMadness Zero,4,95466,0,Yes,9+,EN. DE,58547200, Puzzle. Strategy,25/10/2009,5/03/2018
Vikings\u2122 Free,2.5,295,0,No,9+,EN,5336201, Entertainment. Strategy. Role Playing,1/02/2010,1/02/2010
Galaxy Trek,4,178,0.99,No,4+,EN,9961472, Strategy. Role Playing,2/11/2009,29/01/2015
King of Dragon Pass,5,960,9.99,No,12+,EN,364954624, Entertainment. Strategy. Role Playing,14/02/2011,18/10/2018
Bad Apples,3,3284,0,Yes,4+,EN,34713600, Puzzle. Strategy,18/01/2010,20/11/2013
Sudoku Scrapbook,4,63,2.99,No,4+,DA. NL. EN. FI. FR. DE. IT. JA. KO. NB. PL. PT. RU. ZH. ES. SV. ZH,27623424, Strategy. Puzzle,19/11/2009,30/05/2017
Handgun FREE,2,849,0,No,17+,EN,16375808,Entertainment. Action. Strategy. ,30/10/2009,2/04/2016
Fare City: Taxi Mania FREE,3.5,532,0,No,4+,EN,30134272, Strategy. Family,30/10/2009,11/01/2016
Art Of War 2: Global Confederation,3,746,0,No,9+,EN. RU,12349649, Strategy. Board,11/11/2009,21/03/2011
Orbital Free,4,3910,0,No,4+,EN. FR. DE. IT. ES,22872064, Strategy. Puzzle. Entertainment,1/12/2009,20/04/2015
Arctopia: A Puzzle Game,4,118,0,No,4+,EN. FR,11697152, Entertainment. Puzzle. Strategy,2/11/2009,1/03/2018
"""Traveler's Quest""",4,486,0,Yes,12+,EN,283385856, Family. Travel. Strategy,25/11/2009,30/07/2019
2012 Tumble,3.5,884,0,Yes,9+,EN,1250034, Entertainment. Strategy. Puzzle,12/11/2009,12/11/2009
Runway Free,3,80790,0,No,4+,EN,36204544, Strategy. Navigation. Role Playing,11/11/2009,31/10/2013
DropZap,3,1419,0.99,No,4+,EN,29578240, Strategy. Entertainment. Puzzle,12/11/2009,1/12/2015
Furballs!,3.5,30,0.99,No,9+,EN,63169536, Casual. Entertainment. Strategy,12/11/2009,12/05/2017
"""Tap 'n' Pop Arcade: Group Remove""",3,297,1.99,No,4+,EN,3898368, Entertainment. Strategy. Puzzle,13/11/2009,19/09/2016
Pinochle Plus,4,893,3.99,No,4+,EN. DE,43512832, Card. Entertainment. Strategy,20/12/2009,2/08/2019
Solo Noble - Peg Solitaire - Free,2.5,240,0,Yes,4+,EN,6322647, Board. Strategy,17/11/2009,4/10/2010
Pok\xe9 Dexter - Generation I to VI,3,1471,0.99,No,4+,EN. FR,331237376,Reference.  Strategy. Adventure,25/11/2009,21/09/2015
Age of Conquest: North America,3.5,123,3.99,No,12+,EN,36946944, Board. Entertainment. Strategy,18/11/2009,12/10/2018
Jewel Lines Lite,2.5,6630,0,No,4+,EN,8592384, Puzzle. Entertainment. Strategy,18/11/2009,5/09/2017
Termite,3.5,158,0,Yes,4+,EN,1202176, Action. Strategy,18/11/2009,10/01/2019
"""Tap 'n' Pop Arcade: Group Remove (FREE)""",2.5,3183,0,No,4+,EN,6794240, Strategy. Entertainment. Puzzle,24/11/2009,21/09/2016
T-Bomb,4,3306,1.99,No,9+,EN,12795904, Puzzle. Entertainment. Strategy,22/12/2009,26/04/2018
Trenches,4,26674,0.99,No,17+,EN,37340259, Strategy. Entertainment. Action,24/12/2009,6/12/2012
Solitaire Classic,3.5,17409,0,Yes,4+,EN. FR. DE. RU,211776512, Card. Strategy,28/11/2009,5/07/2019
Fragmental 3D - Build Lines with Falling Blocks!,4,84,0.99,No,4+,EN,7619584, Entertainment. Puzzle. Strategy,4/12/2009,4/11/2015
ShotTacToe,5,7,0.99,No,17+,EN,13151232,Entertainment. Board. Strategy. ,1/12/2009,22/09/2016
European War,3.5,286,0.99,No,9+,EN,14863724, Entertainment. Strategy. Board,7/12/2009,18/01/2011
Catch-21,3,1620,0,No,4+,EN,11439792, Strategy. Card,18/12/2009,5/06/2012
TapOut by Tapjoy,3.5,37435,0,No,4+,EN,11333632, Entertainment. Puzzle. Strategy,10/12/2009,22/12/2014
Red Conquest! (Episodes 1 & 2!),4,532,0.99,No,12+,EN,19387392, Simulation. Entertainment. Strategy,12/12/2009,2/03/2016
Alien Antigens Lite,2,18,0,No,4+,EN,6556139, Strategy. Puzzle. Entertainment,15/12/2009,16/02/2010
Shredder Chess Lite,4,836,0,No,4+,EN. DE,24859648, Education. Board. Strategy,18/12/2009,20/09/2017
Home Sweet Home LITE,3.5,13618,0,Yes,4+,EN,25593921, Lifestyle. Simulation. Strategy,10/12/2009,9/11/2012
Six Logic: Use your Brain!,4,64,0.99,No,4+,EN. ES,53878784, Puzzle. Strategy. Entertainment,14/12/2009,25/09/2014
Zen Wars,4,184,0.99,Yes,9+,EN. FR. DE. JA. ZH,56263680, Strategy. Entertainment. Casual,11/08/2011,23/10/2017
3 Boxes,2.5,310,0,Yes,4+,EN,26754048, Entertainment. Strategy. Puzzle,17/12/2009,2/05/2017
